Модель,Год,Пробег,Цена,Описание
"BMW 3 серия E46",1999,277450,7500,"механика, 2,5 л, бензин, седан"
"BMW 3 серия F30, F31",2013,213800,13900,"автомат, 2,0 л, бензин, седан"
"BMW X3 F25 · Рестайлинг",2015,304000,18800,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия F10, F11",2011,306400,17000,"автомат, 2,0 л, дизель, седан"
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2020,123000,17600,"механика, 1,5 л, бензин, минивэн"
"BMW 4 серия  G22, G23, G26",2021,75000,72000,"автомат, 3,0 л, бензин, лифтбек"
"BMW 5 серия E34",1995,452232,3500,"механика, 1,8 л, бензин, универсал"
"BMW 5 серия F10, F11",2011,222000,15900,"автомат, 2,5 л, бензин, седан"
"BMW X3 F25",2012,180000,17900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2001,519000,8800,"механика, 2,9 л, дизель, универсал"
"BMW X5 E53 · Рестайлинг",2006,361000,13900,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X3 F25 · Рестайлинг",2015,266000,22900,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW i3 I01",2014,62000,10990,"автомат, электро, хэтчбек 5 дв., запас хода 125 км"
"BMW 3 серия E90, E91, E92, E93 · Рестайлинг",2010,180000,13500,"автомат, 3,0 л, бензин, седан"
"BMW 7 серия F01, F04",2010,303000,17300,"автомат, 3,0 л, дизель, седан"
"BMW X5 F15",2016,167500,27300,"автомат, 2,0 л, бензин (гибрид), внедорожник 5 дв."
"BMW X5 G05",2020,59855,75000,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 4 серия  G22, G23, G26",2021,31000,64999,"автомат, 3,0 л, дизель, купе"
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2020,189563,15499,"механика, 1,5 л, дизель, минивэн"
"BMW 7 серия F01, F04",2011,380000,15700,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия E60, E61",2003,390000,12600,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия F10, F11",2012,275500,19000,"автомат, 2,0 л, дизель, универсал"
"BMW 5 серия F10, F11",2011,245000,19300,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия F10, F11",2011,245000,19300,"автомат, 3,0 л, дизель, седан"
"BMW 2 серия Gran Tourer F46, 7 мест",2016,232000,12000,"механика, 1,5 л, дизель, минивэн"
"BMW 7 серия E65",2001,340000,6000,"автомат, 4,4 л, бензин, седан"
"BMW 3 серия G20, G21 · Рестайлинг",2022,22170,45000,"автомат, 2,0 л, бензин, седан"
"BMW M3 G80",2022,28000,99000,"автомат, 3,0 л, бензин, седан"
"BMW X5 E70",2008,266000,14500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия E36",1997,386454,3343,"автомат, 2,0 л, бензин, седан"
"BMW X3M F97 · Рестайлинг",2022,29000,83500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 E70",2009,321297,16300,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39 · Рестайлинг",2001,614000,5500,"механика, 2,9 л, дизель, универсал"
